what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418321666190
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418321666748
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322091487
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322093914
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322186433
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322217123
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322219514
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1418322230582
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418322236103
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322240296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322256566
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322381707
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322393663
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322402991
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418322420383
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418322421932
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418322422627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418322422890
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418322423083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418322423279
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418322423470
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418322423656
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418322423824
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418322424002
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418322425771
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418322428690
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322430549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322439697
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322441803
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418322446433
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322447465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322451899
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322452946
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322454378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322456100
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1418322558120
error,log,,,"INSTANCE",1418322558300
opened,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322558384
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322558443
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322566885
closed,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322566885
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1418322568072
opened,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322568266
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322568296
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1418322575102
opened,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322575307
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322575342
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322578535
closed,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418322578535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418322581661
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323150722
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323156234
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323156916
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418323157847
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418323159693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323161717
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1418323161745
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323193794
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418323195095
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323196456
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323196540
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418323198566
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1418323211828
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418323237858
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323240561
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323250706
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418323250718
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418323260773
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418323268040
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418323271430
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323274978
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323290452
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323293615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323376741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418323382409
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323385499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323400435
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323423077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323424704
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323427630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323428388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323430701
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323431968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323432851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323458652
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323462637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323497596
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323503746
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323506720
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418323511697
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418323540796
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1418323543339
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1418323552792
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418323561922
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323585292
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323586311
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418323588148
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323590192
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323599898
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418323601353
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323602945
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323611326
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418323617781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418323636168
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1418323643762
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418323645128
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323647314
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323657691
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418323691357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323695786
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323706224
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418323896385
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418323900781
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418327330763
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418327351281
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418327397439
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418327412609
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418327412624
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418327417297
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418327433644
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418327439770
executed,command,org.python.pydev.debug,3.9.0.201411111611,"org.python.pydev.debug.ui.actions.runEditorBasedOnNatureTypeAction",1418327440957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418327441160
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418327453439
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418327453470
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418327469378
